Sl No,Constituency,Leading Candidate
179,Sahara,Ladu Lal Pitalia (BJP)
180,Bhilwara,Ashok Kumar Kothari (Independent)
181,Shahpura,Lalaram Bairwa (BJP)
182,Jahazpur,Gopichand Meena (BJP)
183,Mandalgarh,Gopal Lal Sharma (BJP)
184,Hindoli,Ashok (INC)
185,Keshoraipatan,Chunnilal C.L. Premi Bairwa (INC)
186,Bundi,Harimohan Sharma (INC)
187,Pipalda,Chetan Patel Kolana (INC)
188,Sangod,Heeralal Nagar (BJP)
189,Kota North,Shanti Dhariwal (INC)
190,Kota South,Sandeep Sharma (BJP)
191,Ladpura,Kalpana Devi (BJP)
192,Ramganj Mandi,Madan Dilawar (BJP)
193,Anta,Kanwarlal (BJP)
194,Kishanganj,Lalit Meena (BJP)
195,Baran-Atru,Radheyshyam Bairwa (BJP)
196,Chhabra,Pratap Singh Singhvi (BJP)
197,Dag,Kaluram (BJP)
198,Jhalrapatan,Vasundhara Raje (BJP)
199,Khanpur,Suresh Gurjar (INC)
200,Manohar Thana,Govind Prasad (BJP)
